	family	mt	order	xt
195	Mauroniscidae	2	Coleoptera	4.5
196	Mordellidae	2	Coleoptera	15
197	Phloiophilidae	2	Coleoptera	3
198	Psephenidae	2	Coleoptera	7
199	Ptilodactylidae	2	Coleoptera	16
200	Ripiphoridae	2	Coleoptera	38
201	Silvanidae	2	Coleoptera	15
202	Zopheridae	2	Coleoptera	40
203	Neanuridae	2	Collembola	3.5
204	Acroceridae	2	Diptera	21
205	Anisopodidae	2	Diptera	18
206	Anthomyiidae	2	Diptera	12
207	Bibionidae	2	Diptera	15
208	Canthyloscelidae	2	Diptera	3.5
209	Deuterophlebiidae	2	Diptera	4
210	Empididae	2	Diptera	12
211	Fergusoninidae	2	Diptera	3
212	Lauxaniidae	2	Diptera	11
213	Lonchopteridae	2	Diptera	4
214	Muscidae	2	Diptera	20
215	Opomyzidae	2	Diptera	4.4
216	Pipunculidae	2	Diptera	11.5
217	Sciomyzidae	2	Diptera	13
218	Sepsidae	2	Diptera	7
219	Stratiomyidae	2	Diptera	28
220	Strongylophthalmyiidae	2	Diptera	6
221	Synneuridae	2	Diptera	3.5
222	Tephritidae	2	Diptera	35
223	Thaumaleidae	2	Diptera	4.5
224	Ulidiidae	2	Diptera	14
225	Xylophagidae	2	Diptera	25
226	Caenidae	2	Ephemeroptera	6
227	Leptohyphidae	2	Ephemeroptera	10
228	Cimicidae	2	Hemiptera	12
229	Cydnidae	2	Hemiptera	20
230	Delphacidae	2	Hemiptera	10
231	Enicocephalidae	2	Hemiptera	15
232	Issidae	2	Hemiptera	19
233	Lyctocoridae	2	Hemiptera	6
234	Membracidae	2	Hemiptera	24
235	Miridae	2	Hemiptera	15
236	Peloridiidae	2	Hemiptera	5
237	Plataspidae	2	Hemiptera	20
238	Termitaphididae	2	Hemiptera	3
239	Thaumastocoridae	2	Hemiptera	4.6
240	Tingidae	2	Hemiptera	8
241	Braconidae	2	Hymenoptera	15
242	Chalcididae	2	Hymenoptera	12
243	Evaniidae	2	Hymenoptera	15
244	Adelidae	2	Lepidoptera	11
245	Agonoxenidae	2	Lepidoptera	6
246	Alucitidae	2	Lepidoptera	10
247	Argyresthiidae	2	Lepidoptera	5
248	Batrachedridae	2	Lepidoptera	9
249	Bucculatricidae	2	Lepidoptera	5
250	Coleophoridae	2	Lepidoptera	7
251	Cosmopterigidae	2	Lepidoptera	11
252	Crinopterygidae	2	Lepidoptera	2.5
253	Douglasiidae	2	Lepidoptera	5
254	Elachistidae	2	Lepidoptera	9
255	Eriocottidae	2	Lepidoptera	21
256	Eriocraniidae	2	Lepidoptera	5
257	Glyphipterigidae	2	Lepidoptera	14
258	Gracillariidae	2	Lepidoptera	10
259	Incurvariidae	2	Lepidoptera	6
260	Lecithoceridae	2	Lepidoptera	10
261	Lycaenidae	2	Lepidoptera	33
262	Lyonetiidae	2	Lepidoptera	5
263	Mnesarchaeidae	2	Lepidoptera	4
264	Momphidae	2	Lepidoptera	5
265	Oecophoridae	2	Lepidoptera	30
266	Plutellidae	2	Lepidoptera	17
267	Prodoxidae	2	Lepidoptera	11
268	Prototheoridae	2	Lepidoptera	15
269	Psychidae	2	Lepidoptera	37
270	Pterophoridae	2	Lepidoptera	15
271	Tineidae	2	Lepidoptera	21
272	Tischeriidae	2	Lepidoptera	3
273	Yponomeutidae	2	Lepidoptera	11
274	Boreidae	2	Mecoptera	7.5
275	Coniopterygidae	2	Neuroptera	3
276	Myrmecophilidae	2	Orthoptera	4
277	Ectopsocidae	2	Psocoptera	2.5
278	Elipsocidae	2	Psocoptera	2.6
279	Lepidopsocidae	2	Psocoptera	2.5
280	Peripsocidae	2	Psocoptera	4
281	Trichopsocidae	2	Psocoptera	2.5
282	Phlaeothripidae	2	Thysanoptera	14
283	Calocidae	2	Trichoptera	10
284	Ecnomidae	2	Trichoptera	7
285		2	Zoraptera	3
286	Mycetophilidae	2.2	Diptera	13.3
287	Philotarsidae	2.2	Psocoptera	3.8
288	Saldidae	2.3	Hemiptera	7.4
289	Amphientomidae	2.3	Psocoptera	5
290	Phloeostichidae	2.4	Coleoptera	15
291	Blaberidae	2.5	Blattodea	75
292	Artematopodidae	2.5	Coleoptera	10
293	Byturidae	2.5	Coleoptera	8
294	Chelonariidae	2.5	Coleoptera	10
295	Cucujidae	2.5	Coleoptera	25
296	Erotylidae	2.5	Coleoptera	25
297	Glaresidae	2.5	Coleoptera	6
298	Nosodendridae	2.5	Coleoptera	9
299	Acartophthalmidae	2.5	Diptera	3
300	Conopidae	2.5	Diptera	30
301	Odiniidae	2.5	Diptera	6
302	Periscelididae	2.5	Diptera	5
303	Platystomatidae	2.5	Diptera	20
304	Therevidae	2.5	Diptera	15
305	Berytidae	2.5	Hemiptera	11
306	Corixidae	2.5	Hemiptera	15
307	Hermatobatidae	2.5	Hemiptera	4
308	Joppeicidae	2.5	Hemiptera	3
309	Macroveliidae	2.5	Hemiptera	5.6
310	Piesmatidae	2.5	Hemiptera	5
311	Chrysididae	2.5	Hymenoptera	20
312	Caeciliusidae	2.5	Psocoptera	4.5
313	Epipsocidae	2.5	Psocoptera	5.7
314	Hemipsocidae	2.5	Psocoptera	2.8
315	Pseudocaeciliidae	2.5	Psocoptera	8
316	Hydrometridae	2.7	Hemiptera	22
317	Tetratomidae	2.8	Coleoptera	15
318	Keroplatidae	2.8	Diptera	8.8
319	Amphipsocidae	2.8	Psocoptera	5.5
320	Gyrinidae	3	Coleoptera	15
321	Brentidae	3	Coleoptera	80
322	Drilidae	3	Coleoptera	10
323	Lutrochidae	3	Coleoptera	5
324	Lycidae	3	Coleoptera	22
325	Ochodaeidae	3	Coleoptera	10
326	Omalisidae	3	Coleoptera	9
327	Omethidae	3	Coleoptera	12
328	Passandridae	3	Coleoptera	35
329	Phengodidae	3	Coleoptera	65
330	Pythidae	3	Coleoptera	20
331	Spercheidae	3	Coleoptera	7
332	Asilidae	3	Diptera	60
333	Blephariceridae	3	Diptera	13
334	Coelopidae	3	Diptera	16
335	Culicidae	3	Diptera	9
336	Diadocidiidae	3	Diptera	10
337	Helcomyzidae	3	Diptera	16
338	Lonchaeidae	3	Diptera	6
339	Lygistorrhinidae	3	Diptera	5
340	Pallopteridae	3	Diptera	5
341	Piophilidae	3	Diptera	8
342	Psilidae	3	Diptera	12
343	Richardiidae	3	Diptera	15
344	Scathophagidae	3	Diptera	13
345	Tachinidae	3	Diptera	25
346	Trichoceridae	3	Diptera	9
347	Baetidae	3	Ephemeroptera	10
348	Achilidae	3	Hemiptera	13
349	Aetalionidae	3	Hemiptera	30
350	Aradidae	3	Hemiptera	11
351	Cixiidae	3	Hemiptera	13
352	Dictyopharidae	3	Hemiptera	33
353	Malcidae	3	Hemiptera	4
354	Meenoplidae	3	Hemiptera	7
355	Tettigometridae	3	Hemiptera	11
356	Bradynobaenidae	3	Hymenoptera	20
357	Diapriidae	3	Hymenoptera	15
358	Eucharitidae	3	Hymenoptera	10
359	Eurytomidae	3	Hymenoptera	5
360	Ichneumonidae	3	Hymenoptera	40
361	Mutillidae	3	Hymenoptera	30
362	Plumariidae	3	Hymenoptera	10
363	Pompilidae	3	Hymenoptera	60
364	Tenthredinidae	3	Hymenoptera	20
365	Vanhorniidae	3	Hymenoptera	10
366	Agathiphagidae	3	Lepidoptera	5
367	Arctiidae	3	Lepidoptera	44
368	Brachodidae	3	Lepidoptera	17
369	Carposinidae	3	Lepidoptera	14
370	Choreutidae	3	Lepidoptera	10
371	Copromorphidae	3	Lepidoptera	11
372	Cyclotornidae	3	Lepidoptera	10
373	Geometridae	3	Lepidoptera	42
374	Heterobathmiidae	3	Lepidoptera	4
375	Heterogynidae	3	Lepidoptera	9
376	Neopseustidae	3	Lepidoptera	6
377	Noctuidae	3	Lepidoptera	154
378	Palaephatidae	3	Lepidoptera	11
379	Tortricidae	3	Lepidoptera	24
380	Ypsolophidae	3	Lepidoptera	6
381	Capniidae	3	Plecoptera	25
382	Myopsocidae	3	Psocoptera	5
383	Prionoglarididae	3	Psocoptera	3.4
384	Glossosomatidae	3	Trichoptera	10
385	Helicophidae	3	Trichoptera	6
386	Hydropsychidae	3	Trichoptera	21
387	Xiphocentronidae	3	Trichoptera	4
388	Austroleptidae	3.1	Diptera	5.3
389	Psocidae	3.2	Psocoptera	5.4
390	Protocucujidae	3.5	Coleoptera	5.8
391	Fanniidae	3.5	Diptera	7.5
392	Rhinophoridae	3.5	Diptera	8
393	Somatiidae	3.5	Diptera	5
394	Aphelocheiridae	3.5	Hemiptera	11.5
395	Lestoniidae	3.5	Hemiptera	5.6
396	Apidae	3.5	Hymenoptera	27
397	Colletidae	3.5	Hymenoptera	20
398	Sierolomorphidae	3.5	Hymenoptera	6
399	Stenopsocidae	3.5	Psocoptera	4.5
400	Trachypachidae	3.8	Coleoptera	7
401	Mesopsocidae	3.8	Psocoptera	4.2
402	Agyrtidae	4	Coleoptera	14
403	Lampyridae	4	Coleoptera	30
404	Lucanidae	4	Coleoptera	80
405	Nemonychidae	4	Coleoptera	6
406	Orsodacnidae	4	Coleoptera	15
407	Sphaeritidae	4	Coleoptera	6
408	Labiidae	4	Dermaptera	7
409	Axymyiidae	4	Diptera	7
410	Bombyliidae	4	Diptera	40
411	Calliphoridae	4	Diptera	16
412	Diopsidae	4	Diptera	12
413	Dryomyzidae	4	Diptera	18
414	Nemestrinidae	4	Diptera	16
415	Pelecorhynchidae	4	Diptera	18
416	Rhagionidae	4	Diptera	12
417	Syrphidae	4	Diptera	25
418		4	Embioptera	22
419	Heptageniidae	4	Ephemeroptera	14
420	Leptophlebiidae	4	Ephemeroptera	12
421	Tricorythidae	4	Ephemeroptera	6.5
422	Achilixiidae	4	Hemiptera	8
423	Derbidae	4	Hemiptera	11
424	Flatidae	4	Hemiptera	32
425	Fulgoridae	4	Hemiptera	100
426	Nogodinidae	4	Hemiptera	17
427	Pentatomidae	4	Hemiptera	20
428	Rhopalidae	4	Hemiptera	15
429	Ricaniidae	4	Hemiptera	12
430	Andrenidae	4	Hymenoptera	22
431	Argidae	4	Hymenoptera	15
432	Halictidae	4	Hymenoptera	10
433	Heloridae	4	Hymenoptera	7
434	Liopteridae	4	Hymenoptera	15
435	Megalyridae	4	Hymenoptera	20
436	Stephanidae	4	Hymenoptera	40
437	Tiphiidae	4	Hymenoptera	30
438		4	Isoptera	20
439	Acanthopteroctetidae	4	Lepidoptera	6
440	Acrolophidae	4	Lepidoptera	28
441	Aididae	4	Lepidoptera	39
442	Autostichidae	4	Lepidoptera	7
443	Dalceridae	4	Lepidoptera	18
444	Lacturidae	4	Lepidoptera	22
445	Limacodidae	4	Lepidoptera	35
446	Pyralidae	4	Lepidoptera	67
447	Roeslerstammiidae	4	Lepidoptera	8
448	Thyrididae	4	Lepidoptera	42
449	Urodidae	4	Lepidoptera	14
450	Zygaenidae	4	Lepidoptera	40
451	Tridactylidae	4	Orthoptera	15
452	Gryllidae	4	Orthoptera	50
453	Anomalopsychidae	4	Trichoptera	8
454	Apataniidae	4	Trichoptera	13
455	Beraeidae	4	Trichoptera	5
456	Conoesucidae	4	Trichoptera	10
457	Dipseudopsidae	4	Trichoptera	14
458	Goeridae	4	Trichoptera	10
459	Helicopsychidae	4	Trichoptera	6
460	Hydrobiosidae	4	Trichoptera	13
461	Leptoceridae	4	Trichoptera	15
462	Psychomyiidae	4	Trichoptera	6
463	Tasimiidae	4	Trichoptera	6
464	Nicoletiidae	4	Zygentoma	29
465	Cephaloidae	4.2	Coleoptera	22
466	Heterocheilidae	4.2	Diptera	6.5
467	Calopsocidae	4.3	Psocoptera	7
468	Belidae	4.5	Coleoptera	20
469	Apsilocephalidae	4.5	Diptera	5.5
470	Dixidae	4.5	Diptera	7
471	Ochteridae	4.5	Hemiptera	9
472	Hesperinidae	4.7	Diptera	12
473	Aspidytidae	4.8	Coleoptera	7
474	Cupedidae	5	Coleoptera	22
475	Geotrupidae	5	Coleoptera	45
476	Hybosoridae	5	Coleoptera	7
477	Lymexylidae	5	Coleoptera	40
478	Meloidae	5	Coleoptera	33
479	Oedemeridae	5	Coleoptera	20
480	Prostomidae	5	Coleoptera	10
481	Helosciomyzidae	5	Diptera	11
482	Micropezidae	5	Diptera	17
483	Pachyneuridae	5	Diptera	6
484	Pyrgotidae	5	Diptera	30
485	Sarcophagidae	5	Diptera	25
486	Xylomyidae	5	Diptera	15
487	Ephemerellidae	5	Ephemeroptera	12
488	Canopidae	5	Hemiptera	7
489	Cercopidae	5	Hemiptera	20
490	Idiostolidae	5	Hemiptera	7
491	Lophopidae	5	Hemiptera	15
492	Naucoridae	5	Hemiptera	20
493	Notonectidae	5	Hemiptera	15
494	Scutelleridae	5	Hemiptera	20
495	Tropiduchidae	5	Hemiptera	13
496	Ampulicidae	5	Hymenoptera	15
497	Cephidae	5	Hymenoptera	25
498	Diprionidae	5	Hymenoptera	12
499	Megalodontesidae	5	Hymenoptera	20
500	Orussidae	5	Hymenoptera	20
501	Xyelidae	5	Hymenoptera	15
502	Anomoeotidae	5	Lepidoptera	8
503	Arrhenophanidae	5	Lepidoptera	29
504	Cossidae	5	Lepidoptera	136
505	Glyphidoceridae	5	Lepidoptera	7
506	Himantopteridae	5	Lepidoptera	12
507	Immidae	5	Lepidoptera	14
508	Megalopygidae	5	Lepidoptera	44
509	Sesiidae	5	Lepidoptera	34
510	Xyloryctidae	5	Lepidoptera	29
511	Nannochoristidae	5	Mecoptera	9
512	Tettigoniidae	5	Orthoptera	90
513	Gripopterygidae	5	Plecoptera	25
514	Notonemouridae	5	Plecoptera	8
515		5	Raphidioptera	20
516	Kokiriidae	5	Trichoptera	9
517	Odontoceridae	5	Trichoptera	14
518	Polycentropodidae	5	Trichoptera	10
519	Prionoceridae	5.5	Coleoptera	20
520	Apteropanorpidae	5.5	Mecoptera	11
521	Ommatidae	6	Coleoptera	27
522	Dascillidae	6	Coleoptera	20
523	Glaphyridae	6	Coleoptera	20
524	Helotidae	6	Coleoptera	16
525	Perimylopidae	6	Coleoptera	10
526	Tomoceridae	6	Collembola	10
527	Glossinidae	6	Diptera	14
528	Tabanidae	6	Diptera	30
529	Tipulidae	6	Diptera	60
530	Neoephemeridae	6	Ephemeroptera	13
531	Oligoneuriidae	6	Ephemeroptera	10
532	Acanthosomatidae	6	Hemiptera	18
533	Colobathristidae	6	Hemiptera	20
534	Blasticotomidae	6	Hymenoptera	10
535	Crabronidae	6	Hymenoptera	20
536	Proctotrupidae	6	Hymenoptera	8
537	Sapygidae	6	Hymenoptera	22
538	Drepanidae	6	Lepidoptera	22
539	Nymphalidae	6	Lepidoptera	56
540	Berothidae	6	Neuroptera	15
