Order	Family	MVZDatabase	Species	Asymmetry	Ellipticity	AvgLength (cm)	Number of images	Number of eggs
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus macrurus	Caprimulgus macrurus	0.0640	0.3481	2.8317	5	9
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus pectoralis	Caprimulgus pectoralis	0.0186	0.2799	2.5972	1	2
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus ruficollis	Caprimulgus ruficollis	0.0770	0.3912	3.1095	2	3
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus rufigena	Caprimulgus rufigena	0.1150	0.5420	3.0526	1	2
CAPRIMULGIFORMES	Caprimulgidae	Semeiophorus vexillarius	Caprimulgus vexillarius	0.0285	0.3849	2.5185	1	1
CAPRIMULGIFORMES	Caprimulgidae	Caprimulgus vociferus	Caprimulgus vociferus	0.0641	0.3891	2.8605	8	16
CAPRIMULGIFORMES	Caprimulgidae	Chordeiles acutipennis	Chordeiles acutipennis	0.0630	0.3797	2.7541	27	52
CAPRIMULGIFORMES	Caprimulgidae	Chordeiles minor	Chordeiles minor	0.0796	0.3833	3.0455	43	83
CAPRIMULGIFORMES	Caprimulgidae	Macrodipteryx longipennis	Macrodipteryx longipennis	0.0516	0.3490	2.5672	1	2
CAPRIMULGIFORMES	Caprimulgidae	Nyctidromus albicollis	Nyctidromus albicollis	0.0887	0.3857	3.1209	6	12
CAPRIMULGIFORMES	Caprimulgidae	Phalaenoptilus nuttallii	Phalaenoptilus nuttallii	0.0692	0.3785	2.6920	10	20
CAPRIMULGIFORMES	Podargidae	Batrachostomus javensis	Batrachostomus javensis	0.0094	0.5150	3.0448	1	1
CAPRIMULGIFORMES	Podargidae	Batrachostomus stellatus	Batrachostomus stellatus	0.0321	0.2708	2.6295	1	1
CAPRIMULGIFORMES	Podargidae	Podargus strigoides	Podargus strigoides	0.0636	0.4548	4.2601	1	3
CASUARIIFORMES	Casuariidae	Casuarius bennetti	Casuarius bennetti	0.1172	0.5209	13.5326	1	1
CASUARIIFORMES	Casuariidae	Casuarius casuarius	Casuarius casuarius	0.0724	0.5408	14.1250	2	2
CASUARIIFORMES	Casuariidae	Dromaius novaehollandiae	Dromaius novaehollandiae	0.0573	0.4988	12.7834	3	3
CHARADRIIFORMES	Alcidae	Aethia cristatella	Aethia cristatella	0.2505	0.4659	5.3474	4	4
