in_egg_database	name	rank	order	genus	species	family	migratory	reference
TRUE	Danaus_gilippus	species	Lepidoptera	Danaus	gilippus	Nymphalidae	TRUE	texasento_migratory
TRUE	Danaus_plexippus	species	Lepidoptera	Danaus	plexippus	Nymphalidae	TRUE	texasento_migratory
FALSE	Daphnis_nerii	species	Lepidoptera	Daphnis	nerii	Sphingidae	TRUE	dutchmigratory
TRUE	Diabrotica_undecimpunctata	species	Coleoptera	Diabrotica	undecimpunctata	Chrysomelidae	TRUE	texasento_migratory
FALSE	Diachrysia_chryson	species	Lepidoptera	Diachrysia	chryson	Noctuidae	TRUE	dutchmigratory
FALSE	Diasemia_reticularis	species	Lepidoptera	Diasemia	reticularis	Crambidae	TRUE	dutchmigratory
FALSE	Diasemiopsis_ramburialis	species	Lepidoptera	Diasemiopsis	ramburialis	Crambidae	TRUE	dutchmigratory
FALSE	Dioryctria_abietella	species	Lepidoptera	Dioryctria	abietella	Pyralidae	TRUE	sparks2007increased
TRUE	Diplacodes_bipunctata	species	Odonata	Diplacodes	bipunctata	Libellulidae	TRUE	CorbetPhilipS1999Dba
FALSE	Diplacodes_lefebvrei	species	Odonata	Diplacodes	lefebvrei	Libellulidae	TRUE	CorbetPhilipS1999Dba
FALSE	Diplacodes_trivialis	species	Odonata	Diplacodes	trivialis	Libellulidae	TRUE	CorbetPhilipS1999Dba
FALSE	Dolicharthria_punctalis	species	Lepidoptera	Dolicharthria	punctalis	Crambidae	TRUE	dutchmigratory
TRUE	Dysgonia_algira	species	Lepidoptera	Dysgonia	algira	Noctuidae	TRUE	sparks2007increased
FALSE	Eilema_caniola	species	Lepidoptera	Eilema	caniola	Erebidae	TRUE	sparks2007increased
FALSE	Eilema_pygmaeolum	species	Lepidoptera	Eilema	pygmaeolum	Erebidae	TRUE	sparks2007increased
TRUE	Enargia_paleacea	species	Lepidoptera	Enargia	paleacea	Noctuidae	TRUE	sparks2007increased
FALSE	Enyo_lugubris	species	Lepidoptera	Enyo	lugubris	Sphingidae	TRUE	texasento_migratory
FALSE	Epiaeschna_heros	species	Odonata	Epiaeschna	heros	Aeshnidae	TRUE	texasento_migratory
FALSE	Epinotia_thapsiana	species	Lepidoptera	Epinotia	thapsiana	Tortricidae	TRUE	dutchmigratory
FALSE	Epischnia_prodromella	species	Lepidoptera	Epischnia	prodromella	Pyralidae	TRUE	dutchmigratory
FALSE	Erinnyis_ello	species	Lepidoptera	Erinnyis	ello	Sphingidae	TRUE	texasento_migratory
FALSE	Erinnyis_obscura	species	Lepidoptera	Erinnyis	obscura	Sphingidae	TRUE	texasento_migratory
FALSE	Erythemis_vesiculosa	species	Odonata	Erythemis	vesiculosa	Libellulidae	TRUE	texasento_migratory
FALSE	Ethmia_bipunctella	species	Lepidoptera	Ethmia	bipunctella	Elachistidae	TRUE	sparks2007increased
FALSE	Etiella_zinckenella	species	Lepidoptera	Etiella	zinckenella	Pyralidae	TRUE	dutchmigratory
FALSE	Eublemma_ostrina	species	Lepidoptera	Eublemma	ostrina	Noctuidae	TRUE	dutchmigratory
FALSE	Eublemma_parva	species	Lepidoptera	Eublemma	parva	Noctuidae	TRUE	dutchmigratory
FALSE	Euchromius_ocellea	species	Lepidoptera	Euchromius	ocellea	Crambidae	TRUE	dutchmigratory
TRUE	Eunica_monima	species	Lepidoptera	Eunica	monima	Nymphalidae	TRUE	texasento_migratory
FALSE	Euplagia_quadripunctaria	species	Lepidoptera	Euplagia	quadripunctaria	Erebidae	TRUE	sparks2007increased
TRUE	Eurema_daira	species	Lepidoptera	Eurema	daira	Pieridae	TRUE	texasento_migratory
TRUE	Eurema_lisa	species	Lepidoptera	Eurema	lisa	Pieridae	TRUE	texasento_migratory
TRUE	Eurema_mexicana	species	Lepidoptera	Eurema	mexicana	Pieridae	TRUE	texasento_migratory
TRUE	Eurema_nicippe	species	Lepidoptera	Eurema	nicippe	Pieridae	TRUE	texasento_migratory
FALSE	Eurytides_marcellus	species	Lepidoptera	Eurytides	marcellus	Papilionidae	TRUE	texasento_migratory
FALSE	Euxoa_auxiliaris	species	Lepidoptera	Euxoa	auxiliaris	Noctuidae	TRUE	texasento_migratory
FALSE	Evergestis_extimalis	species	Lepidoptera	Evergestis	extimalis	Crambidae	TRUE	sparks2007increased
TRUE	Helicoverpa_armigera	species	Lepidoptera	Helicoverpa	armigera	Noctuidae	TRUE	sparks2007increased
TRUE	Helicoverpa_zea	species	Lepidoptera	Helicoverpa	zea	Noctuidae	TRUE	texasento_migratory
FALSE	Heliothis_nubigera	species	Lepidoptera	Heliothis	nubigera	Noctuidae	TRUE	dutchmigratory
FALSE	Heliothis_peltigera	species	Lepidoptera	Heliothis	peltigera	Noctuidae	TRUE	dutchmigratory
FALSE	Hellula_undalis	species	Lepidoptera	Hellula	undalis	Crambidae	TRUE	sparks2007increased
FALSE	Hemianax_ephippiger	species	Odonata	Hemianax	ephippiger	Aeshnidae	TRUE	CorbetPhilipS1999Dba
FALSE	Hemianax_papuensis	species	Odonata	Hemianax	papuensis	Aeshnidae	TRUE	CorbetPhilipS1999Dba
TRUE	Hemicordulia_australiae	species	Odonata	Hemicordulia	australiae	Corduliidae	TRUE	CorbetPhilipS1999Dba
FALSE	Hemicordulia_tau	species	Odonata	Hemicordulia	tau	Corduliidae	TRUE	CorbetPhilipS1999Dba
TRUE	Hipparchia_semele	species	Lepidoptera	Hipparchia	semele	Nymphalidae	TRUE	stancua2016migratory
FALSE	Hippodamia_convergens	species	Coleoptera	Hippodamia	convergens	Coccinellidae	TRUE	texasento_migratory
FALSE	Hippotion_celerio	species	Lepidoptera	Hippotion	celerio	Sphingidae	TRUE	dutchmigratory
FALSE	Homoeosoma_nebulella	species	Lepidoptera	Homoeosoma	nebulella	Pyralidae	TRUE	dutchmigratory
FALSE	Hylaea_fasciaria	species	Lepidoptera	Hylaea	fasciaria	Geometridae	TRUE	sparks2007increased
FALSE	Hyles_euphorbiae	species	Lepidoptera	Hyles	euphorbiae	Sphingidae	TRUE	dutchmigratory
FALSE	Hyles_gallii	species	Lepidoptera	Hyles	gallii	Sphingidae	TRUE	sparks2007increased
FALSE	Hyles_lineata	species	Lepidoptera	Hyles	lineata	Sphingidae	TRUE	sparks2007increased
FALSE	Hyles_livornica	species	Lepidoptera	Hyles	livornica	Sphingidae	TRUE	dutchmigratory
FALSE	Hypena_obsitalis	species	Lepidoptera	Hypena	obsitalis	Erebidae	TRUE	sparks2007increased
TRUE	Inachis_io	species	Lepidoptera	Inachis	io	Nymphalidae	TRUE	stancua2016migratory
TRUE	Iphiclides_podalirius	species	Lepidoptera	Iphiclides	podalirius	Papilionidae	TRUE	dutchmigratory
FALSE	Ischnura_asiatica	species	Odonata	Ischnura	asiatica	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
FALSE	Ischnura_aurora	species	Odonata	Ischnura	aurora	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
FALSE	Ischnura_evansi	species	Odonata	Ischnura	evansi	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
FALSE	Ischnura_fountainei	species	Odonata	Ischnura	fountainei	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
FALSE	Ischnura_hastata	species	Odonata	Ischnura	hastata	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
FALSE	Ischnura_intermedia	species	Odonata	Ischnura	intermedia	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
FALSE	Ischnura_pumilio	species	Odonata	Ischnura	pumilio	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
FALSE	Ischnura_saharensis	species	Odonata	Ischnura	saharensis	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
FALSE	Ischnura_senegalensis	species	Odonata	Ischnura	senegalensis	Coenagrionidae	TRUE	CorbetPhilipS1999Dba
TRUE	Issoria_lathonia	species	Lepidoptera	Issoria	lathonia	Nymphalidae	TRUE	stancua2016migratory
TRUE	Junonia_coenia	species	Lepidoptera	Junonia	coenia	Nymphalidae	TRUE	texasento_migratory
TRUE	Kricogonia_lyside	species	Lepidoptera	Kricogonia	lyside	Pieridae	TRUE	texasento_migratory
TRUE	Lampides_boeticus	species	Lepidoptera	Lampides	boeticus	Lycaenidae	TRUE	sparks2007increased
FALSE	Libellula_axilena	species	Odonata	Libellula	axilena	Libellulidae	TRUE	texasento_migratory
FALSE	Libellula_pulchella	species	Odonata	Libellula	pulchella	Libellulidae	TRUE	texasento_migratory
FALSE	Libellula_quadrimaculata	species	Odonata	Libellula	quadrimaculata	Libellulidae	TRUE	CorbetPhilipS1999Dba
FALSE	Libellula_semifasciata	species	Odonata	Libellula	semifasciata	Libellulidae	TRUE	texasento_migratory
FALSE	Libellula_vibrans	species	Odonata	Libellula	vibrans	Libellulidae	TRUE	texasento_migratory
TRUE	Libytheana_carinenta	species	Lepidoptera	Libytheana	carinenta	Nymphalidae	TRUE	texasento_migratory
FALSE	Lindenia_tetraphylla	species	Odonata	Lindenia	tetraphylla	Gomphidae	TRUE	CorbetPhilipS1999Dba
TRUE	Lithosia_quadra	species	Lepidoptera	Lithosia	quadra	Erebidae	TRUE	sparks2007increased
TRUE	Locusta_migratoria	species	Orthoptera	Locusta	migratoria	Acrididae	TRUE	added manually
FALSE	Loxostege_sticticalis	species	Lepidoptera	Loxostege	sticticalis	Crambidae	TRUE	dutchmigratory
TRUE	Lycaena_phlaeas	species	Lepidoptera	Lycaena	phlaeas	Lycaenidae	TRUE	stancua2016migratory
TRUE	Lymantria_dispar	species	Lepidoptera	Lymantria	dispar	Lymantriidae	TRUE	sparks2007increased
TRUE	Macdunnoughia_confusa	species	Lepidoptera	Macdunnoughia	confusa	Noctuidae	TRUE	huemer2014testing
FALSE	Macrodiplax_cora	species	Odonata	Macrodiplax	cora	Libellulidae	TRUE	CorbetPhilipS1999Dba
TRUE	Macroglossum_stellatarum	species	Lepidoptera	Macroglossum	stellatarum	Sphingidae	TRUE	dutchmigratory
TRUE	Marpesia_chiron	species	Lepidoptera	Marpesia	chiron	Nymphalidae	TRUE	texasento_migratory
TRUE	Melanoplus_sanguinipes	species	Orthoptera	Melanoplus	sanguinipes	Acrididae	TRUE	texasento_migratory
FALSE	Melanoplus_spretus	species	Orthoptera	Melanoplus	spretus	Acrididae	TRUE	texasento_migratory
FALSE	Mestra_amymone	species	Lepidoptera	Mestra	amymone	Nymphalidae	TRUE	texasento_migratory
FALSE	Miathyria_marcella	species	Odonata	Miathyria	marcella	Libellulidae	TRUE	CorbetPhilipS1999Dba
TRUE	Mythimna_albipuncta	species	Lepidoptera	Mythimna	albipuncta	Noctuidae	TRUE	sparks2007increased
FALSE	Mythimna_lalbum	species	Lepidoptera	Mythimna	lalbum	Noctuidae	TRUE	huemer2014testing
FALSE	Mythimna_loreyi	species	Lepidoptera	Mythimna	loreyi	Noctuidae	TRUE	dutchmigratory
TRUE	Mythimna_unipuncta	species	Lepidoptera	Mythimna	unipuncta	Noctuidae	TRUE	texasento_migratory
FALSE	Mythimna_vitellina	species	Lepidoptera	Mythimna	vitellina	Noctuidae	TRUE	dutchmigratory
TRUE	Noctua_pronuba	species	Lepidoptera	Noctua	pronuba	Noctuidae	TRUE	texasento_migratory
FALSE	Nomophila_noctuella	species	Lepidoptera	Nomophila	noctuella	Crambidae	TRUE	dutchmigratory
TRUE	Nymphalis_antiopa	species	Lepidoptera	Nymphalis	antiopa	Nymphalidae	TRUE	texasento_migratory
FALSE	Nymphalis_xanthomelas	species	Lepidoptera	Nymphalis	xanthomelas	Nymphalidae	TRUE	stancua2016migratory
FALSE	Ochropacha_leucogaster	species	Lepidoptera	Ochropacha	leucogaster	Drepanidae	TRUE	sparks2007increased
TRUE	Oncopeltus_fasciatus	species	Hemiptera	Oncopeltus	fasciatus	Lygaeidae	TRUE	texasento_migratory
TRUE	Orthonama_obstipata	species	Lepidoptera	Orthonama	obstipata	Geometridae	TRUE	dutchmigratory
FALSE	Ostrinia_nubilalis	species	Lepidoptera	Ostrinia	nubilalis	Crambidae	TRUE	sparks2007increased
FALSE	Pachydiplax_longipennis	species	Odonata	Pachydiplax	longipennis	Libellulidae	TRUE	texasento_migratory
FALSE	Palpita_unionalis	species	Lepidoptera	Palpita	unionalis	Crambidae	TRUE	dutchmigratory
FALSE	Palpita_vitrealis	species	Lepidoptera	Palpita	vitrealis	Crambidae	TRUE	sparks2007increased
FALSE	Palpopleura_lucia	species	Odonata	Palpopleura	lucia	Libellulidae	TRUE	CorbetPhilipS1999Dba
FALSE	Panoquina_ocola	species	Lepidoptera	Panoquina	ocola	Hesperiidae	TRUE	texasento_migratory
FALSE	Pantala_flavescens	species	Odonata	Pantala	flavescens	Libellulidae	TRUE	texasento_migratory
FALSE	Pantala_hymenaea	species	Odonata	Pantala	hymenaea	Libellulidae	TRUE	texasento_migratory
TRUE	Papilio_machaon	species	Lepidoptera	Papilio	machaon	Papilionidae	TRUE	stancua2016migratory
FALSE	Peridroma_saucia	species	Lepidoptera	Peridroma	saucia	Noctuidae	TRUE	dutchmigratory
