in_egg_database	name	rank	order	semiaquatic_riparian	in_water	combined	references	handbook_of_zoology_vol_1_3	williams1992aquatic	wichard2002biological	jach1998annotated	JohannsenOAOskarAugustus1934Ad	additional_notes										
TRUE	Hydrophilidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	semiaquatic and riparian, few terrestrial (only in Sphaeridiinae), egg laid in cases			true water beetles												
FALSE	Hydrophorus	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
TRUE	Hydroscaphidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	adults and larvae aquatic			true water beetles												
FALSE	Hydrosmecta	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Hydrovatus	genus	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm	eggs laid in water plants															
FALSE	Hygrobiidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	fully aquatic larvae and adults, eggs laid on surface of submerged plants			true water beetles												
FALSE	Hygrogeus_aemulus	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Hygronoma_dimidiata	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Hygropetrophila_grandis	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Hypnoidus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Hypocaccus	genus	Coleoptera	SOME	FALSE	SOME	jach1998annotated				riparian		some										
FALSE	Hyrdophorus	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Icaris	genus	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous												
TRUE	Ilybius	genus	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm	eggs laid in water plants															
TRUE	Integripalpia	suborder	Trichoptera	FALSE	FALSE	FALSE	wichard2002biological			overhanging water													
FALSE	Ischnopoda	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Itonida	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					phytophilous											
FALSE	Laccophilinae	subfamily	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm	eggs laid in water plants															
FALSE	Lasioptera	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					phytophilous											
FALSE	Lathrobium	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Lebiomorpha_miliaris	species	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				facultative water beetle												
FALSE	Lemnaphila	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					phytophilous											
TRUE	Lepiceridae	family	Coleoptera	TRUE	FALSE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	Adults and larvae near aquatic habitats			true water beetles												
FALSE	Leptobium	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Leptotarsus	genus	Diptera	SOME	SOME	TRUE	young2004insecta						aquatic or semiaquatic										
FALSE	Lesteva	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Libellulidae	family	Odonata	SOME	SOME	TRUE	wichard2002biological			eggs laid in or near water													
