in_egg_database	original_name	name	rank	order	parasitoid	internal	conflict_across_sources	references	eggleton1992insect	noyes1989chalcidoidea	pennacchio2006evolution	gauld1988evolutionary	noyes2003universal
FALSE	Oscionoma confluens	Oscionoma_confluens	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Pambolinae	Pambolinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
FALSE	Pelecinidae	Pelecinidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect	ectoparasitic				
FALSE	Pelecium	Pelecium	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Perilampidae	Perilampidae	family	Hymenoptera	TRUE	FALSE	TRUE	noyes1989chalcidoidea, noyes2003universal		most endoparasitic, some eggs laid externally			all eggs laid externally
FALSE	Phaeomyiidae	Phaeomyiidae	family	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Phyllobaenus	Phyllobaenus	genus	Coleoptera	TRUE	SOME	FALSE	eggleton1992insect	all parasitoid - host locating mechanism uknown				
TRUE	Pimplinae	Pimplinae	subfamily	Hymenoptera	TRUE	SOME	FALSE	gauld1988evolutionary				many ectoparasitic, some endoparasitic	
TRUE	Pipunculidae	Pipunculidae	family	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
FALSE	Planarivora insignis	Planarivora_insignis	species	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
TRUE	Platygastroidea	Platygastroidea	superfamily	Hymenoptera	TRUE	TRUE	FALSE	pennacchio2006evolution			all endoparasitic		
FALSE	Podagrionini	Podagrionini	tribe	Hymenoptera	TRUE	TRUE	FALSE	noyes1989chalcidoidea, noyes2003universal		all endoparasitic			all endoparasitic
TRUE	Pollenia	Pollenia	genus	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Polysphictini	Polysphinctini	subfamily	Hymenoptera	TRUE	FALSE	FALSE	gauld1988evolutionary				all ectoparasitic	
TRUE	Pompilidae	Pompilidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect	ectoparasitic				
TRUE	Proctotrupoidea	Proctotrupoidea	superfamily	Hymenoptera	TRUE	SOME	TRUE	pennacchio2006evolution			all endoparasitic		
TRUE	Pseudacteon tricuspis	Pseudacteon_tricuspis	species	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
FALSE	Pseudendaphis maculans	Pseudendaphis_maculans	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Pteromalidae	Pteromalidae	family	Hymenoptera	SOME	SOME	TRUE	eggleton1992insect, noyes1989chalcidoidea, noyes2003universal	ectoparasitic, kleptoparasitic, endoparasiticphytic	most ectoparasitic, some endoparasitic			endoparasitic and ectoparasitic
TRUE	Pyrgotidae	Pyrgotidae	family	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
TRUE	Rhinophirdae	Rhinophoridae	family	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Rhipiceridae	Rhipiceridae	family	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Rhysipolis	Rhysipolis	genus	Hymenoptera	TRUE	FALSE	FALSE	gauld1988evolutionary				all ectoparasitic	
TRUE	Rhipiphoridae	Ripiphoridae	family	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Rogadinae	Rogadinae	subfamily	Hymenoptera	TRUE	SOME	FALSE	gauld1988evolutionary				most endoparasitic, a few ectoparasitic	
TRUE	Sapygidae	Sapygidae	family	Hymenoptera	FALSE	FALSE	FALSE	eggleton1992insect	kleptoparasitic				
